Student_ID,First_Name,Last_Name,DOB,Gender,Grade_Level,Section,Parent_Email,Annual_Tuition,Scholarship_Type,Attendance_Rate,Enrollment_Status
SCH-2026-1000,Jasmine,Allen,2015-08-18,Female,Grade 5,A,allen.jasmine@example.com,9385.58,None,96.55,Active
SCH-2026-1001,Angel,Gonzales,2018-05-02,Female,Grade 1,A,gonzales.angel@example.com,6143.24,Partial (25%),83.13,Active
SCH-2026-1002,Victoria,Banks,2010-08-01,Others,Grade 10,E,banks.victoria@example.com,3600.36,None,90.11,Active
SCH-2026-1003,Gabrielle,Robinson,2010-06-09,Male,Grade 9,B,robinson.gabrielle@example.com,10655.11,Partial (25%),96.77,Active
SCH-2026-1004,Breanna,Campbell,2016-10-26,Male,Grade 4,D,campbell.breanna@example.com,7486.76,None,76.61,Active
SCH-2026-1005,Robert,Gardner,2008-06-16,Male,Grade 11,D,gardner.robert@example.com,10426.49,None,75.27,Active
SCH-2026-1006,Christopher,Barrett,2017-03-13,Female,Grade 3,A,barrett.christopher@example.com,8102.6,None,87.9,Active
SCH-2026-1007,Tiffany,Campos,2011-11-16,Others,Grade 9,E,campos.tiffany@example.com,11867.01,None,82.22,Active
SCH-2026-1008,Sarah,Ponce,2012-06-07,Others,Grade 7,C,ponce.sarah@example.com,3606.99,None,91.02,Active
SCH-2026-1009,Tyler,Collins,2008-05-26,Male,Grade 12,B,collins.tyler@example.com,7710.46,None,91.75,Active
SCH-2026-1010,Jimmy,Ho,2016-03-23,Others,Grade 4,E,ho.jimmy@example.com,9696.64,None,81.72,Active
SCH-2026-1011,James,Jennings,2014-03-14,Male,Grade 7,A,jennings.james@example.com,8655.58,None,75.9,Active
SCH-2026-1012,Penny,Lindsey,2016-08-03,Male,Grade 4,D,lindsey.penny@example.com,9732.91,None,81.44,Active
SCH-2026-1013,Kristopher,Chung,2020-12-20,Male,Preschool,E,chung.kristopher@example.com,4431.83,None,90.78,Active
SCH-2026-1014,Erin,Taylor,2021-03-21,Female,Preschool,B,taylor.erin@example.com,9606.24,Partial (25%),83.43,Active
SCH-2026-1015,Donna,Hall,2012-01-29,Others,Grade 9,B,hall.donna@example.com,5388.27,Partial (25%),94.99,Withdrawn
SCH-2026-1016,Ashley,Tran,2012-02-08,Female,Grade 9,C,tran.ashley@example.com,6081.1,None,87.11,Active
SCH-2026-1017,Samantha,Booth,2014-10-30,Female,Grade 6,A,booth.samantha@example.com,9500.44,None,96.17,Active
SCH-2026-1018,Jason,Woods,2018-07-21,Others,Grade 2,C,woods.jason@example.com,8301.18,Partial (25%),92.32,Active
SCH-2026-1019,Fernando,Melton,2019-03-18,Others,Grade 2,A,melton.fernando@example.com,5332.43,Partial (25%),91.77,Active
SCH-2026-1020,Margaret,Browning,2008-06-26,Others,Grade 12,A,browning.margaret@example.com,4914.59,None,87.18,Active
SCH-2026-1021,Autumn,Garcia,2017-10-05,Female,Grade 3,D,garcia.autumn@example.com,5470.1,None,95.67,Active
SCH-2026-1022,Nicole,Guerrero,2008-06-19,Male,Grade 12,B,guerrero.nicole@example.com,10779.06,None,77.27,Active
SCH-2026-1023,Ralph,Carrillo,2016-01-06,Female,Grade 5,C,carrillo.ralph@example.com,3007.64,None,77.28,Active
SCH-2026-1024,Sharon,Harris,2015-04-03,Others,Grade 5,A,harris.sharon@example.com,8638.1,None,98.8,Active
SCH-2026-1025,Michelle,Goodwin,2015-12-05,Others,Grade 4,C,goodwin.michelle@example.com,4026.49,None,98.82,Active
SCH-2026-1026,Kaitlyn,Garcia,2009-07-18,Female,Grade 11,D,garcia.kaitlyn@example.com,7462.17,None,98.28,Active
SCH-2026-1027,Stephanie,Anderson,2018-10-10,Male,Grade 2,D,anderson.stephanie@example.com,8980.6,None,85.52,Active
SCH-2026-1028,Leslie,Cordova,2017-07-11,Female,Grade 2,B,cordova.leslie@example.com,7688.64,None,80.74,Active
SCH-2026-1029,Brad,Payne,2020-12-29,Male,Kindergarten,D,payne.brad@example.com,5966.2,None,88.54,Active
SCH-2026-1030,David,Ryan,2012-08-13,Male,Grade 7,A,ryan.david@example.com,6835.68,None,97.35,Active
SCH-2026-1031,Aaron,Burns,2013-08-20,Male,Grade 6,D,burns.aaron@example.com,10040.08,Partial (25%),91.09,Active
SCH-2026-1032,Robert,Vaughan,2019-07-03,Female,Grade 1,B,vaughan.robert@example.com,5902.25,None,83.56,Active
SCH-2026-1033,Christopher,Sanchez,2016-08-13,Others,Grade 4,D,sanchez.christopher@example.com,5466.3,None,77.18,Active
SCH-2026-1034,Christine,Calderon,2013-10-31,Others,Grade 6,C,calderon.christine@example.com,6611.05,None,92.15,Active
SCH-2026-1035,David,Benitez,2012-11-11,Female,Grade 7,D,benitez.david@example.com,10648.89,None,97.61,Active
SCH-2026-1036,Katrina,Clark,2011-07-07,Male,Grade 9,D,clark.katrina@example.com,3645.99,Full Scholarship,79.88,Active
SCH-2026-1037,Morgan,Rodriguez,2021-05-28,Others,Preschool,E,rodriguez.morgan@example.com,10422.41,None,93.84,On Leave
SCH-2026-1038,Jennifer,Matthews,2009-01-30,Female,Grade 11,B,matthews.jennifer@example.com,5044.2,None,95.27,Withdrawn
SCH-2026-1039,Felicia,Baxter,2023-03-11,Female,Preschool,B,baxter.felicia@example.com,4817.39,Partial (25%),81.24,Active
SCH-2026-1040,Elizabeth,Cisneros,2016-08-07,Others,Grade 4,E,cisneros.elizabeth@example.com,8444.74,None,80.23,Active
