Student_ID,First_Name,Last_Name,DOB,Gender,Grade_Level,Section,Parent_Email,Annual_Tuition,Scholarship_Type,Attendance_Rate,Enrollment_Status
SCH-2026-1000,Lori,Morgan,2021-09-05,Male,Preschool,A,morgan.lori@yahoo.com,5232.64,Partial (50%),88.66,On Leave
SCH-2026-1001,Sean,Flores,2011-02-26,Female,Grade 9,E,flores.sean@hotmail.com,3278.02,None,81.43,Withdrawn
SCH-2026-1002,Sarah,Evans,2015-10-11,Female,Grade 5,E,evans.sarah@yahoo.com,7702.39,Partial (25%),88.56,Active
SCH-2026-1003,Noah,Brewer,2008-02-18,Female,Grade 12,A,brewer.noah@yahoo.com,8315.63,None,97.78,Active
SCH-2026-1004,Susan,Lopez,2013-02-19,Non-binary,Grade 7,A,lopez.susan@hotmail.com,8350.04,Partial (50%),98.98,Active
SCH-2026-1005,Stacy,Adams,2009-06-14,Female,Grade 10,D,adams.stacy@gmail.com,4000.81,None,88.39,Active
SCH-2026-1006,Mark,Kennedy,2018-04-08,Female,Grade 2,B,kennedy.mark@yahoo.com,6653.14,None,97.79,On Leave
SCH-2026-1007,Tami,Conley,2017-04-09,Female,Grade 4,C,conley.tami@gmail.com,5704.82,None,83.81,Withdrawn
SCH-2026-1008,Becky,Weeks,2021-11-21,Male,Preschool,A,weeks.becky@hotmail.com,8934.55,Partial (25%),94.77,Active
SCH-2026-1009,Megan,Pratt,2016-10-09,Male,Grade 3,B,pratt.megan@hotmail.com,6295.88,None,82.73,Active
SCH-2026-1010,Patricia,Frank,2009-05-30,Non-binary,Grade 10,D,frank.patricia@gmail.com,10194.17,None,96.97,Active
SCH-2026-1011,Robert,Rivera,2011-11-03,Non-binary,Grade 9,D,rivera.robert@hotmail.com,8267.21,None,95.66,Active
SCH-2026-1012,Natasha,Boyd,2014-12-11,Non-binary,Grade 6,E,boyd.natasha@gmail.com,5623.66,None,80.32,Withdrawn
SCH-2026-1013,Jeffrey,Lamb,2020-02-05,Non-binary,Grade 1,C,lamb.jeffrey@gmail.com,3185.38,None,92.57,Active
SCH-2026-1014,Todd,Smith,2016-09-29,Male,Grade 4,E,smith.todd@hotmail.com,10427.15,Partial (50%),88.88,Active
SCH-2026-1015,Manuel,Murphy,2018-05-20,Non-binary,Grade 2,C,murphy.manuel@gmail.com,8825.8,Partial (25%),95.42,Active
SCH-2026-1016,Karen,Allen,2014-02-17,Non-binary,Grade 6,A,allen.karen@gmail.com,11752.75,Partial (25%),96.95,Active
SCH-2026-1017,Nicole,Hopkins,2014-09-10,Female,Grade 6,D,hopkins.nicole@yahoo.com,9745.35,None,77.78,Active
SCH-2026-1018,Debra,Thompson,2015-09-22,Female,Grade 5,E,thompson.debra@hotmail.com,4444.85,None,76.12,Withdrawn
SCH-2026-1019,Vanessa,Mcneil,2012-12-06,Male,Grade 8,B,mcneil.vanessa@gmail.com,8843.76,None,85.69,Active
SCH-2026-1020,Barbara,Bell,2008-09-10,Female,Grade 11,A,bell.barbara@yahoo.com,5887.33,Partial (25%),94.91,Active
SCH-2026-1021,Lauren,Smith,2010-07-25,Female,Grade 9,B,smith.lauren@yahoo.com,11998.94,None,94.88,Active
SCH-2026-1022,Melvin,Graham,2011-05-25,Male,Grade 8,C,graham.melvin@hotmail.com,8795.15,Full Scholarship,90.62,Active
SCH-2026-1023,Steven,Stephens,2018-01-30,Female,Grade 3,C,stephens.steven@yahoo.com,10178.69,None,99.12,Active
SCH-2026-1024,Kurt,Young,2014-05-28,Non-binary,Grade 5,E,young.kurt@hotmail.com,4752.45,None,78.83,Active
SCH-2026-1025,Rachel,Wilson,2014-07-26,Female,Grade 6,D,wilson.rachel@hotmail.com,11903.15,None,84.67,Withdrawn
SCH-2026-1026,Steven,Olson,2011-03-23,Non-binary,Grade 9,A,olson.steven@yahoo.com,11462.64,None,92.41,Active
SCH-2026-1027,Allison,Wilson,2019-07-17,Non-binary,Kindergarten,B,wilson.allison@gmail.com,6692.43,Partial (50%),94.87,Active
SCH-2026-1028,Daniel,Smith,2016-01-04,Non-binary,Grade 4,D,smith.daniel@hotmail.com,3983.99,None,91.09,Active
SCH-2026-1029,David,Santos,2017-08-08,Non-binary,Grade 3,C,santos.david@gmail.com,7924.87,None,75.57,Active
SCH-2026-1030,Julie,King,2022-04-20,Non-binary,Preschool,E,king.julie@gmail.com,8361.0,None,76.01,Active
SCH-2026-1031,Derek,Rose,2019-06-22,Male,Kindergarten,A,rose.derek@gmail.com,8328.79,None,96.72,Active
SCH-2026-1032,Gerald,Mcconnell,2011-07-23,Non-binary,Grade 9,E,mcconnell.gerald@yahoo.com,7895.15,None,94.05,Active
SCH-2026-1033,Gregory,Rivera,2017-09-24,Non-binary,Grade 3,A,rivera.gregory@gmail.com,7739.98,None,77.03,Withdrawn
SCH-2026-1034,Nicole,Johnson,2014-10-29,Non-binary,Grade 6,A,johnson.nicole@hotmail.com,4355.06,None,81.48,Active
SCH-2026-1035,Michelle,Smith,2013-09-30,Female,Grade 7,A,smith.michelle@gmail.com,4931.43,None,90.06,Active
SCH-2026-1036,Natalie,Arellano,2019-04-19,Female,Grade 1,A,arellano.natalie@hotmail.com,8395.75,Partial (25%),93.53,Active
SCH-2026-1037,Courtney,Bruce,2020-04-30,Female,Preschool,D,bruce.courtney@yahoo.com,3148.13,Partial (50%),94.93,Active
SCH-2026-1038,Lisa,Henry,2009-02-11,Non-binary,Grade 11,B,henry.lisa@yahoo.com,10905.09,Partial (25%),92.29,Active
SCH-2026-1039,Ryan,Evans,2015-10-27,Non-binary,Grade 5,B,evans.ryan@yahoo.com,7095.25,None,97.8,Active
SCH-2026-1040,Vincent,Blackwell,2018-09-16,Non-binary,Grade 2,C,blackwell.vincent@yahoo.com,4420.86,None,96.9,Active
SCH-2026-1041,Gavin,Hester,2018-03-31,Male,Grade 3,D,hester.gavin@yahoo.com,4281.78,None,93.62,Active
SCH-2026-1042,Gene,Prince,2015-09-30,Male,Grade 4,E,prince.gene@yahoo.com,11651.79,None,98.74,Active
SCH-2026-1043,Michael,Gomez,2014-02-25,Non-binary,Grade 7,D,gomez.michael@gmail.com,10557.78,None,82.39,Active
SCH-2026-1044,Lisa,Green,2014-11-07,Female,Grade 6,B,green.lisa@gmail.com,3507.59,None,90.53,Active
SCH-2026-1045,Ashley,Gonzalez,2008-07-25,Male,Grade 11,C,gonzalez.ashley@gmail.com,5017.84,None,95.58,Active
SCH-2026-1046,Shane,Medina,2021-12-24,Non-binary,Preschool,D,medina.shane@gmail.com,8139.27,None,99.09,Active
SCH-2026-1047,Crystal,Jackson,2009-11-01,Female,Grade 11,A,jackson.crystal@gmail.com,8285.56,Partial (25%),94.87,Active
SCH-2026-1048,Michele,Frazier,2018-05-29,Male,Grade 2,B,frazier.michele@yahoo.com,6024.04,None,94.1,Active
SCH-2026-1049,Tony,Porter,2020-07-24,Non-binary,Preschool,E,porter.tony@gmail.com,4730.01,None,96.76,Active
SCH-2026-1050,Shawn,Reynolds,2016-05-21,Male,Grade 3,D,reynolds.shawn@yahoo.com,9279.23,None,95.23,Active
SCH-2026-1051,Frank,Salinas,2018-01-21,Male,Grade 3,A,salinas.frank@yahoo.com,11093.47,None,86.45,Withdrawn
SCH-2026-1052,Dennis,Jefferson,2010-02-07,Female,Grade 10,D,jefferson.dennis@hotmail.com,7818.71,None,85.22,Active
SCH-2026-1053,Heather,Lopez,2011-11-25,Female,Grade 8,A,lopez.heather@hotmail.com,5380.02,None,84.07,Active
SCH-2026-1054,Joshua,Martinez,2010-04-24,Non-binary,Grade 11,D,martinez.joshua@hotmail.com,11701.78,Partial (50%),93.94,Active
SCH-2026-1055,Tiffany,Owens,2019-08-24,Male,Grade 1,B,owens.tiffany@hotmail.com,9457.25,None,90.21,Active
SCH-2026-1056,Deborah,Shaw,2023-01-09,Female,Preschool,C,shaw.deborah@gmail.com,11903.01,None,90.28,Active
SCH-2026-1057,April,Flores,2011-06-27,Female,Grade 9,A,flores.april@gmail.com,6712.75,Full Scholarship,92.32,Active
SCH-2026-1058,Hector,Cruz,2010-04-14,Female,Grade 11,E,cruz.hector@yahoo.com,10570.43,Partial (50%),83.0,Active
